id,ticker,signal_type,session,entry_low,entry_high,tp_price,sl_price,tp_pct,sl_pct,score,wyckoff_phase,cmf_value,obv_direction,broker_crossing,vcp_grade,rs_interp,rationale,timestamp_wib,status,exit_price,exit_timestamp,pnl_pct,days_held,notes
BMP-AALI-20260729-POST,AALI,BUY,POST_MARKET,6500.0,6565.0,7035.0,6286.0,8.2,3.3,42,B — Indeterminate,0.1166,Rising ▲,—,NONE,IN LINE →,CMF +0.117 (inflow) · OBV naik ▲,2026-07-29 11:31:24,WIN,7035.0,2026-08-03 05:33:38,8.23,3,TP hit
BMP-TINS-20260730-POST,TINS,BUY,POST_MARKET,3560.0,3596.0,4090.0,3348.0,14.9,6.0,50,D — Sign of Strength,-0.2425,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 69/100,2026-07-30 11:17:53,WIN,4090.0,2026-08-24 03:08:46,14.89,17,TP hit
BMP-INDF-20260731-POST,INDF,BUY,POST_MARKET,6975.0,7045.0,7390.0,6809.0,5.9,2.4,56,B — Indeterminate,0.1404,Rising ▲,—,NONE,IN LINE →,CMF +0.140 (inflow) · OBV naik ▲ · Weekly 80/100 · Vol 2.1x,2026-07-31 11:34:06,WIN,7390.0,2026-08-07 04:29:43,5.95,5,TP hit
BMP-HRUM-20260803-SIG,HRUM,BUY,POST_OPEN,875.0,884.0,995.0,827.0,13.7,5.5,54,B — Indeterminate,0.0614,Rising ▲,—,NONE,OUTPERFORM ▲,OBV naik ▲ · RS OUTPERFORM ▲,2026-08-03 04:09:36,LOSS,827.0,2026-08-06 10:42:53,-5.49,3,SL hit
BMP-ULTJ-20260803-SIG,ULTJ,BUY,POST_OPEN,1495.0,1510.0,1658.0,1430.0,10.9,4.3,50,D — Sign of Strength,-0.3393,Rising ▲,—,NONE,IN LINE →,"OBV naik ▲ · Wyckoff D — Sign of Strength · Intraday 1,495",2026-08-03 04:09:37,EXPIRED,1495.0,2026-08-31 08:27:38,0.0,20,Expired 20 hari
BMP-NCKL-20260803-MID,NCKL,BUY,MIDDAY,945.0,954.0,1092.0,886.0,15.6,6.2,48,B — Indeterminate,0.0539,Rising ▲,—,NONE,OUTPERFORM ▲,OBV naik ▲ · RS OUTPERFORM ▲,2026-08-03 05:58:38,EXPIRED,975.0,2026-08-31 08:27:39,3.17,20,Expired 20 hari
BMP-ULTJ-20260803-MID,ULTJ,BUY,MIDDAY,1495.0,1510.0,1655.0,1431.0,10.7,4.3,47,D — Sign of Strength,-0.337,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-03 05:58:39,EXPIRED,1495.0,2026-08-31 08:27:39,0.0,20,Expired 20 hari
BMP-TOWR-20260803-MID,TOWR,BUY,MIDDAY,400.0,404.0,452.0,379.0,13.0,5.2,44,B — Indeterminate,0.3854,Rising ▲,—,NONE,IN LINE →,CMF +0.385 (inflow kuat) · OBV naik ▲,2026-08-03 08:50:15,WIN,452.0,2026-08-24 05:12:22,13.0,15,TP hit
BMP-TOWR-20260803-POST,TOWR,BUY,POST_MARKET,400.0,404.0,452.0,379.0,13.0,5.2,50,B — Indeterminate,0.3867,Rising ▲,—,NONE,IN LINE →,CMF +0.387 (inflow kuat) · OBV naik ▲,2026-08-03 12:34:30,WIN,452.0,2026-08-24 05:12:22,13.0,15,TP hit
BMP-ULTJ-20260803-POST,ULTJ,BUY,POST_MARKET,1490.0,1505.0,1650.0,1426.0,10.7,4.3,46,D — Sign of Strength,-0.3493,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Vol 1.9x,2026-08-03 12:34:31,EXPIRED,1495.0,2026-08-31 08:27:39,0.34,20,Expired 20 hari
